,precision,recall,f1-score,support
akiec,0.4897959183673469,0.5,0.4948453608247423,48.0
bcc,0.5730337078651685,0.7727272727272727,0.6580645161290323,66.0
bkl,0.5443037974683544,0.75,0.6308068459657702,172.0
df,0.75,0.6,0.6666666666666666,10.0
mel,0.5874125874125874,0.45161290322580644,0.5106382978723404,186.0
nv,0.9136316337148803,0.8641732283464567,0.8882144663631766,1016.0
vasc,0.725,1.0,0.8405797101449275,29.0
accuracy,0.7865094957432875,0.7865094957432875,0.7865094957432875,0.7865094957432875
macro avg,0.6547396635469054,0.7055019148999336,0.6699736948523795,1527.0
weighted avg,0.7995967014265556,0.7865094957432875,0.7885603879373467,1527.0
